time,.data
1969/12/31/19:30:44.714000,EDGE_SE2 1844.714 1844.714 0.0043878148090579685 0 6.832431672155134e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.725000,EDGE_SE2 1844.723 1844.723 0.0035990617955390424 0 -1.217832530600694e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.736000,EDGE_SE2 1844.732 1844.732 0.0035981428451476944 0 -9.422116919261159e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.745000,EDGE_SE2 1844.741 1844.741 0.003599562102269442 0 -8.864403421376495e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.753000,EDGE_SE2 1844.753 1844.753 0.0048061711987982545 0 -1.3859495315023438e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.763000,EDGE_SE2 1844.76 1844.76 0.002799277700343329 0 -5.3534430140637916e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.771000,EDGE_SE2 1844.772 1844.772 0.0047997874654848996 0 -6.780999819959038e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.787000,EDGE_SE2 1844.783 1844.783 0.004396403175165359 0 -6.908621033092885e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.796000,EDGE_SE2 1844.793 1844.793 0.003999087832491958 0 1.1869957211211823e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.808000,EDGE_SE2 1844.801 1844.801 0.0032035119074941103 0 9.760874385701102e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.817000,EDGE_SE2 1844.815 1844.815 0.0055927321157420605 0 -8.909448598036295e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.825000,EDGE_SE2 1844.823 1844.823 0.003197374398481693 0 4.368404934916664e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.837000,EDGE_SE2 1844.836 1844.836 0.005214038025289991 0 -9.427590930200666e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.851000,EDGE_SE2 1844.845 1844.845 0.0035997983983225928 0 -9.9264352610128e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.852000,EDGE_SE2 1844.851 1844.851 0.002398228357647967 0 1.826016822993438e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.865000,EDGE_SE2 1844.864 1844.864 0.0052063810552678245 0 -2.2290232326857106e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.875000,EDGE_SE2 1844.873 1844.873 0.0036006399631068227 0 -1.6232403479027996e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.888000,EDGE_SE2 1844.888 1844.888 0.006011241396373169 0 -8.084022324148966e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.899000,EDGE_SE2 1844.896 1844.896 0.003196060446675067 0 -4.4517187461388305e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.911000,EDGE_SE2 1844.908 1844.908 0.004799393096517575 0 -6.048002605735077e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.913000,EDGE_SE2 1844.911 1844.911 0.0012005456539189554 0 1.2866433778824904e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.927000,EDGE_SE2 1844.923 1844.923 0.00479577220959957 0 -9.030866699584762e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.936000,EDGE_SE2 1844.932 1844.932 0.0035989804050139433 0 -1.9446270021617205e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.948000,EDGE_SE2 1844.948 1844.948 0.006386151432856191 0 -8.780522210797598e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.968000,EDGE_SE2 1844.964 1844.964 0.006398355569037632 0 -3.429155872370771e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.970000,EDGE_SE2 1844.965 1844.965 0.0004002714366936261 0 7.3082990557182e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.977000,EDGE_SE2 1844.973 1844.973 0.003201594125187583 0 -4.281338204473561e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.994000,EDGE_SE2 1844.993 1844.993 0.007995649396224155 0 5.478166824531009e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:44.999000,EDGE_SE2 1844.998 1844.998 0.0019986841502782396 0 4.0120503008134275e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.010000,EDGE_SE2 1845.004 1845.004 0.0023939328375950464 0 -3.5343503162454857e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.014000,EDGE_SE2 1845.012 1845.012 0.0031996407240868323 0 -8.012235799080818e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.028000,EDGE_SE2 1845.024 1845.024 0.004800713523643084 0 -8.062976845788103e-06 0.03 0.0 0.0 0.03 0.0 0.01
