time,.data
1969/12/31/19:30:44.715000,VERTEX_SE2 1844.714 0.2415832189747088 -3.398904211391668e-05 -0.0002810674900050954
1969/12/31/19:30:44.725000,VERTEX_SE2 1844.723 0.24518228064013928 -3.495679082215798e-05 -0.00029324581531110235
1969/12/31/19:30:44.736000,VERTEX_SE2 1844.732 0.2487804233315718 -3.600854092715404e-05 -0.00029418802700302847
1969/12/31/19:30:44.745000,VERTEX_SE2 1844.741 0.25237998528732186 -3.70355810155456e-05 -0.000303052430424405
1969/12/31/19:30:44.753000,VERTEX_SE2 1844.753 0.2571861562851439 -3.842549175179061e-05 -0.00031691192573942844
1969/12/31/19:30:44.763000,VERTEX_SE2 1844.76 0.25998543384962614 -3.929763045072697e-05 -0.0003222653687534922
1969/12/31/19:30:44.771000,VERTEX_SE2 1844.772 0.2647852210762487 -4.0811888345171444e-05 -0.00032904636857345127
1969/12/31/19:30:44.787000,VERTEX_SE2 1844.783 0.26918162402330065 -4.222813573680385e-05 -0.00033595498960654413
1969/12/31/19:30:44.796000,VERTEX_SE2 1844.793 0.2731807116138834 -4.361911822141255e-05 -0.0003240850323953323
1969/12/31/19:30:44.808000,VERTEX_SE2 1844.801 0.2763842233521284 -4.4660455371125054e-05 -0.00032310894495676216
1969/12/31/19:30:44.819000,VERTEX_SE2 1844.815 0.28197695519180954 -4.6417688956247744e-05 -0.00033201839355479846
1969/12/31/19:30:44.825000,VERTEX_SE2 1844.823 0.2851743294093901 -4.7493243473441726e-05 -0.00032764998861988177
1969/12/31/19:30:44.851000,VERTEX_SE2 1844.836 0.290388367170679 -4.915246712749099e-05 -0.00033707757955008243
1969/12/31/19:30:44.851000,VERTEX_SE2 1844.845 0.29398816536569744 -5.036230511911465e-05 -0.0003380702230761837
1969/12/31/19:30:44.852000,VERTEX_SE2 1844.851 0.2963863935848124 -5.1177453904603155e-05 -0.0003362442062531903
1969/12/31/19:30:44.865000,VERTEX_SE2 1844.864 0.3015927743496523 -5.2916464193317146e-05 -0.000338473229485876
1969/12/31/19:30:44.876000,VERTEX_SE2 1844.873 0.3051934141084806 -5.4129339702842356e-05 -0.0003400964698337788
1969/12/31/19:30:44.888000,VERTEX_SE2 1844.888 0.3112046551735374 -5.612514663475636e-05 -0.00034818049215792776
1969/12/31/19:30:44.899000,VERTEX_SE2 1844.896 0.3144007154314061 -5.722372455020918e-05 -0.0003526322109040666
1969/12/31/19:30:44.911000,VERTEX_SE2 1844.908 0.31920010823967065 -5.888711837357689e-05 -0.00035868021350980164
1969/12/31/19:30:44.913000,VERTEX_SE2 1844.911 0.32040065381580857 -5.9319275009835406e-05 -0.00035739357013191917
1969/12/31/19:30:44.928000,VERTEX_SE2 1844.923 0.32519642572067164 -6.102892212719711e-05 -0.00035829665680187767
1969/12/31/19:30:44.936000,VERTEX_SE2 1844.932 0.32879540589717415 -6.231142607258972e-05 -0.0003602412838040394
1969/12/31/19:30:44.948000,VERTEX_SE2 1844.948 0.33518155693560675 -6.455590767262298e-05 -0.000369021806014837
1969/12/31/19:30:44.968000,VERTEX_SE2 1844.964 0.34157991207704874 -6.689509938955265e-05 -0.00037245096188720777
1969/12/31/19:30:44.970000,VERTEX_SE2 1844.965 0.34198018348587056 -6.704447339803436e-05 -0.00037172013198163593
1969/12/31/19:30:44.979000,VERTEX_SE2 1844.973 0.3451817773949325 -6.822086325508636e-05 -0.0003760014701861095
1969/12/31/19:30:44.994000,VERTEX_SE2 1844.993 0.3531774262093664 -7.127104061044192e-05 -0.00037052330336157847
1969/12/31/19:30:45.001000,VERTEX_SE2 1844.998 0.3551761102221501 -7.201240152931406e-05 -0.00037012209833149715
1969/12/31/19:30:45.011000,VERTEX_SE2 1845.004 0.3575700428960853 -7.289760285452916e-05 -0.0003704755333631217
1969/12/31/19:30:45.015000,VERTEX_SE2 1845.012 0.36076968340154214 -7.408042780381959e-05 -0.00037127675694302977
1969/12/31/19:30:45.029000,VERTEX_SE2 1845.024 0.36557039660852 -7.582411307156688e-05 -0.00037933973378881787
1969/12/31/19:30:45.034000,VERTEX_SE2 1845.032 0.36877527743004446 -7.702134069912049e-05 -0.0003851156321233391
1969/12/31/19:30:45.054000,VERTEX_SE2 1845.045 0.3739787618176101 -7.894117682857053e-05 -0.00040127925068346204
1969/12/31/19:30:45.058000,VERTEX_SE2 1845.058 0.37917304111307093 -8.09996355747671e-05 -0.00040626509445749136
1969/12/31/19:30:45.077000,VERTEX_SE2 1845.069 0.38357464802448527 -8.276402213108147e-05 -0.0004116796592509841
1969/12/31/19:30:45.090000,VERTEX_SE2 1845.08 0.38796617277233386 -8.455013594542942e-05 -0.00041664096476008017
1969/12/31/19:30:45.094000,VERTEX_SE2 1845.091 0.3923724909558391 -8.639239308798955e-05 -0.0004151875118014147
1969/12/31/19:30:45.097000,VERTEX_SE2 1845.095 0.39397762360913463 -8.705827328855791e-05 -0.0004155307046595778
1969/12/31/19:30:45.105000,VERTEX_SE2 1845.103 0.39717422765650184 -8.836919390152114e-05 -0.0004209635304302791
1969/12/31/19:30:45.120000,VERTEX_SE2 1845.114 0.40157260806502076 -9.020557442491208e-05 -0.0004244141933673147
1969/12/31/19:30:45.135000,VERTEX_SE2 1845.127 0.4067781815578215 -9.240587561086266e-05 -0.00042614660960509993
1969/12/31/19:30:45.144000,VERTEX_SE2 1845.14 0.4119715721015732 -9.463318108151775e-05 -0.0004234201515420687
1969/12/31/19:30:45.148000,VERTEX_SE2 1845.145 0.41397163295943 -9.54728616621883e-05 -0.00042701281231585786
1969/12/31/19:30:45.157000,VERTEX_SE2 1845.155 0.4179708783907053 -9.718754225473954e-05 -0.0004252746222367353
1969/12/31/19:30:45.170000,VERTEX_SE2 1845.163 0.421165818386046 -9.853383133393278e-05 -0.0004291676218223081
1969/12/31/19:30:45.185000,VERTEX_SE2 1845.175 0.42596535339617125 -0.00010058253481756299 -0.00043148069317664096
1969/12/31/19:30:45.191000,VERTEX_SE2 1845.186 0.4303670248560031 -0.00010245758938284204 -0.0004369744700258541
1969/12/31/19:30:45.198000,VERTEX_SE2 1845.194 0.4335610194060275 -0.000103845063443838 -0.0004395480818187669
1969/12/31/19:30:45.212000,VERTEX_SE2 1845.21 0.43995396102093515 -0.00010670722683962246 -0.0004313893993714183
1969/12/31/19:30:45.214000,VERTEX_SE2 1845.214 0.44155381357202 -0.00010738822267688046 -0.0004371171990742616
1969/12/31/19:30:45.234000,VERTEX_SE2 1845.23 0.4479526100213619 -0.00011017272745365913 -0.00043907372018967927
1969/12/31/19:30:45.237000,VERTEX_SE2 1845.237 0.4507447407804162 -0.0001113973235520017 -0.0004395590913736982
1969/12/31/19:30:45.244000,VERTEX_SE2 1845.241 0.4523458609102187 -0.00011210487088670976 -0.00043721049856996856
1969/12/31/19:30:45.256000,VERTEX_SE2 1845.254 0.45754443268393724 -0.0001143726211083068 -0.0004381953997140822
1969/12/31/19:30:45.266000,VERTEX_SE2 1845.264 0.4615335552334197 -0.00011609771633189068 -0.0004439410326819919
1969/12/31/19:30:45.279000,VERTEX_SE2 1845.276 0.46634643953171817 -0.00011828084016971692 -0.00043428219618157297
1969/12/31/19:30:45.299000,VERTEX_SE2 1845.285 0.4699403418635039 -0.00011981184683785575 -0.0004425632286743312
1969/12/31/19:30:45.306000,VERTEX_SE2 1845.299 0.475539562425639 -0.0001222495396077197 -0.0004497636083952123
1969/12/31/19:30:45.310000,VERTEX_SE2 1845.308 0.47913566326641177 -0.00012385048776266633 -0.00045433724018330843
1969/12/31/19:30:45.321000,VERTEX_SE2 1845.317 0.4827285440431813 -0.00012552907391139928 -0.000441476671450791
1969/12/31/19:30:45.327000,VERTEX_SE2 1845.324 0.48552503072663666 -0.00012676903991374835 -0.0004395520106428222
1969/12/31/19:30:45.343000,VERTEX_SE2 1845.34 0.4919205744374034 -0.00012946393715874553 -0.00045773295302694537
1969/12/31/19:30:45.350000,VERTEX_SE2 1845.347 0.4947253323435012 -0.00013074231728100682 -0.00045967611009446995
1969/12/31/19:30:45.358000,VERTEX_SE2 1845.353 0.49712510009516353 -0.00013185613410545137 -0.0004552169955644021
1969/12/31/19:30:45.369000,VERTEX_SE2 1845.363 0.5011244668523278 -0.00013367905592108338 -0.0004546314103513582
1969/12/31/19:30:45.384000,VERTEX_SE2 1845.382 0.508747477192367 -0.00013707183119565742 -0.0004641925795236315
1969/12/31/19:30:45.390000,VERTEX_SE2 1845.386 0.5103494747447286 -0.00013782138786502536 -0.00046049642003802413
1969/12/31/19:30:45.397000,VERTEX_SE2 1845.393 0.5131420735874104 -0.00013912782197864187 -0.00045317268691181465
1969/12/31/19:30:45.412000,VERTEX_SE2 1845.41 0.5199319481313621 -0.00014210709996881083 -0.00046756292214745636
1969/12/31/19:30:45.415000,VERTEX_SE2 1845.415 0.5219330634248753 -0.00014303318551360625 -0.0004723411753234222
1969/12/31/19:30:45.428000,VERTEX_SE2 1845.423 0.5251303170207098 -0.00014453633421276392 -0.00047454492070714635
1969/12/31/19:30:45.435000,VERTEX_SE2 1845.434 0.5295209363955335 -0.00014660886509170745 -0.0004770537690334328
1969/12/31/19:30:45.456000,VERTEX_SE2 1845.454 0.5375284769795329 -0.00015044036845252538 -0.00047562066332446676
1969/12/31/19:30:45.461000,VERTEX_SE2 1845.457 0.5387284563127782 -0.00015100994969754355 -0.0004765821500596679
